31.10.2025;SGK( EMS/BAÐ/SSK)/ 24763010113598210070325000 / ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞ.TÝC.LTD.ÞTÝ 3476147 /S.Öde Tr: 31.;-25940,49;4.303.292,72
31.10.2025;SGK( EMS/BAÐ/SSK)/ 24762010110559410070346000 / ALANYA ÖZKAN KIRTASÝYE MATBAACILIK YAY.ÝNÞ.TÝC.LTD.ÞTÝ 3476148 /S.Öde T;-151930,32;4.329.233,21
31.10.2025;Ýþyeri no:000000000771359,Tutar : 2484,11 Komisyon : 0,Bloke No : 1679632333, BT: 30/09/2025, ÇT:30/10/2025;2484,11;4.481.163,53
31.10.2025;Ýþyeri no:000000000771359,Tutar : 1904,9 Komisyon : 0,Bloke No : 1679632331, BT: 30/09/2025, ÇT:30/10/2025;1904,90;4.478.679,42
31.10.2025;Ýþyeri no:000000000771359,Tutar : 44 Komisyon : 0,Bloke No : 1679632329, BT: 30/09/2025, ÇT:30/10/2025;44,00;4.476.774,52
31.10.2025;Ýþyeri no:000000000771359,Tutar : 328 Komisyon : 0,Bloke No : 1679632327, BT: 30/09/2025, ÇT:30/10/2025;328,00;4.476.730,52
31.10.2025;Ýþyeri no:000000000771359,Tutar : 3663 Komisyon : 0,Bloke No : 1679632315, BT: 30/09/2025, ÇT:30/10/2025;3663,00;4.476.402,52
31.10.2025;Ýþyeri no:000000000771359,Tutar : 1961 Komisyon : 0,Bloke No : 1679632313, BT: 30/09/2025, ÇT:30/10/2025;1961,00;4.472.739,52
31.10.2025;Ýþyeri no:000000000771359,Tutar : 1181,65 Komisyon : 0,Bloke No : 1679632311, BT: 30/09/2025, ÇT:30/10/2025;1181,65;4.470.778,52
31.10.2025;Ýþyeri no:000000000771359,Tutar : 1102,5 Komisyon : 0,Bloke No : 1679632325, BT: 30/09/2025, ÇT:30/10/2025;1102,50;4.469.596,87
31.10.2025;Ýþyeri no:000000000771359,Tutar : 5184,7 Komisyon : 0,Bloke No : 1679632323, BT: 30/09/2025, ÇT:30/10/2025;5184,70;4.468.494,37
31.10.2025;Ýþyeri no:000000000771359,Tutar : 9720,35 Komisyon : 0,Bloke No : 1679632320, BT: 30/09/2025, ÇT:30/10/2025;9720,35;4.463.309,67
31.10.2025;Ýþyeri no:000000000771359,Tutar : 4000 Komisyon : 0,Bloke No : 1679632319, BT: 30/09/2025, ÇT:30/10/2025;4000,00;4.453.589,32
31.10.2025;Ýþyeri no:000000000771359,Tutar : 1509,4 Komisyon : 0,Bloke No : 1679632317, BT: 30/09/2025, ÇT:30/10/2025;1509,40;4.449.589,32
31.10.2025;Ýþyeri no:000000000771359,Tutar : 15707,88 Komisyon : 0,Bloke No : 1679632308, BT: 30/09/2025, ÇT:30/10/2025;15707,88;4.448.079,92
31.10.2025;Ýþyeri no:000000000771359,Tutar : 24571,19 Komisyon : 0,Bloke No : 1679632307, BT: 30/09/2025, ÇT:30/10/2025;24571,19;4.432.372,04
31.10.2025;Ýþyeri no:000000000771359,Tutar : 10 Komisyon : 0,Bloke No : 1679632305, BT: 30/09/2025, ÇT:30/10/2025;10,00;4.407.800,85
31.10.2025;Ýþyeri no:000000000771359,Tutar : 19932 Komisyon : 0,Bloke No : 1679632303, BT: 30/09/2025, ÇT:30/10/2025;19932,00;4.407.790,85
31.10.2025;Ýþyeri no:000000000771359,Tutar : 5592,92 Komisyon : 0,Bloke No : 1679632301, BT: 30/09/2025, ÇT:30/10/2025;5592,92;4.387.858,85
31.10.2025;Ýþyeri no:000000000771359,Tutar : 8140,8 Komisyon : 0,Bloke No : 1679632298, BT: 30/09/2025, ÇT:30/10/2025;8140,80;4.382.265,93
30.10.2025;MESAJ ÜCRETÝ TUTARI;-0,32;4.374.125,13
30.10.2025;BSMV TUTARI;-0,29;4.374.125,45
30.10.2025;KOMÝSYON TUTARI;-5,79;4.374.125,74
30.10.2025;Türkiye Garanti Bankasý A.Þ./TR200006200121600006664971-AHMET ÇETÝNER/UPT2025000000015 NL'U FATURAYA ÝSTÝNADEN ALANYA ÖZ;-3850,00;4.374.131,53
