Ýþlem Tarihi;Açýklama;Ýþlem Tutarý;Yeni Bakiye
01.07.2025;KKIV/20250521/000000001120365/P POS Satýþ                       /000001603595586;343,00;280466,23
01.07.2025;KKIV/20250521/000000001120365/P POS Satýþ                       /000001603595570;1000,00;281466,23
01.07.2025;KKIV/20250521/000000001120365/P POS Satýþ                       /000001603595585;4573,00;286039,23
01.07.2025;KKIV/20250521/000000001120365/P POS Satýþ                       /000001603595571;58000,00;344039,23
01.07.2025;000000001120365/PAU1                   POS Aidat        02003840/000001639923841;-380,95;343658,28
01.07.2025;000000001120365/PAU1                   POS Aidat        02003840/000001639923841;-19,05;343639,23
01.07.2025;000000001120365/PAU1                   POS Aidat        02217645/000001639923844;-380,95;343258,28
01.07.2025;000000001120365/PAU1                   POS Aidat        02217645/000001639923844;-19,05;343239,23
01.07.2025;000000001120365/PAU1                   POS Aidat        PS080134/000001639923852;-476,19;342763,04
01.07.2025;000000001120365/PAU1                   POS Aidat        PS080134/000001639923852;-23,81;342739,23
01.07.2025;ALANYA ÖZKAN KIRTASÝYE.MAT.YAY.ÝNÞ.TÝC.LTD.ÞTÝ. 'DAN AKBANK TAN HALKBANK A EFT ,;100000,00;442739,23
02.07.2025;KKIV/20250522/000000001120365/P POS Satýþ                       /000001604509542;2437,50;445176,73
02.07.2025;KKIV/20250522/000000001120365/P POS Satýþ                       /000001604509541;49270,69;494447,42
03.07.2025;KKIV/20250523/000000001120365/P POS Satýþ                       /000001605422773;7446,99;501894,41
04.07.2025;KKIV/20250524/000000001120365/P POS Satýþ                       /000001606347133;250,00;502144,41
04.07.2025;KKIV/20250524/000000001120365/P POS Satýþ                       /000001606347136;840,00;502984,41
04.07.2025;KKIV/20250524/000000001120365/P POS Satýþ                       /000001606347137;3000,00;505984,41
04.07.2025;KKIV/20250524/000000001120365/P POS Satýþ                       /000001606347132;10000,00;515984,41
04.07.2025;ELVAN KARAKAN STAJYER ÜCRETÝ;-7368,00;508616,41
04.07.2025;MEHMET ÖZKAN HUZUR HAKKI ÖDEMESÝ;-20000,00;488616,41
06.07.2025;KKIV/20250526/000000001120365/P POS Satýþ                       /000001608007941;104,80;488721,21
06.07.2025;KKIV/20250526/000000001120365/P POS Satýþ                       /000001608007940;298,00;489019,21
06.07.2025;KKIV/20250526/000000001120365/P POS Satýþ                       /000001608007939;362,40;489381,61
06.07.2025;KKIV/20250526/000000001120365/P POS Satýþ                       /000001608007971;8500,00;497881,61
06.07.2025;KKIV/20250526/000000001120365/P POS Satýþ                       /000001608007942;200000,00;697881,61
07.07.2025;KKIV/20250527/000000001120365/P POS Satýþ                       /000001608905042;118,50;698000,11
07.07.2025;KKIV/20250527/000000001120365/P POS Satýþ                       /000001608905037;1114,40;699114,51
08.07.2025;KKIV/20250528/000000001120365/P POS Satýþ                       /000001609801378;20,00;699134,51
