YEVMİYE DEFTERİ;;;;;
ALANYA ÖZKAN KIRTASİYE MAT.YAY.İNŞ.TİC.LTD.ŞTİ.;;;;;
Dönem :;01/01/2025-31/12/2025;;;;
Tarih Aralığı :;01/05/2025-31/05/2025;;;;
05246-----05246-----MAHSUP-----01/05/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
191;İNDİRİLECEK KATMA DEĞER VERGİSİ;   ;;1.718,95;
191.108;Yurtiçi Tevkifatsız Alımlar İçin Ödenen KDV;   ;1.718,95;;
   191.108.20;%20 İndirilecek KDV - Yurtiçi Tevkifatsız Alımlar İçin Ödenen;FT KES2025000000687 01/05 MEHMET KESKİN- KESKİN AMBALAJ;1.718,95;;
760;PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ;   ;;8.594,75;
760.05;GENEL GİDERLER;   ;8.594,75;;
   760.05.20;%20 KDV Lİ GENEL GİDERLER;FT KES2025000000687 01/05 MEHMET KESKİN- KESKİN AMBALAJ;8.594,75;;
320;SATICILAR;   ;;;10.313,70
   320.232;MEHMET KESKİN- KESKİN AMBALAJ;FT KES2025000000687 01/05 MEHMET KESKİN- KESKİN AMBALAJ;10.313,70;;
FİŞ AÇIKLAMA : ;GİDER;;;;
TOPLAM :;;;;10.313,70;10.313,70
;;;;;
05247-----05247-----MAHSUP-----01/05/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
153;TİCARİ MALLAR;   ;;1.398,75;
153.20;%20 KDV Lİ ALIŞLAR;   ;1.398,75;;
   153.20.01;%20 KDV Lİ KIRTASİYE ALIŞLARI;FT AEP2025000003745 01/05 AKKAYMAK KIRTASİYE İŞ EĞİTİMİ MALZEMELERİ KOZMETİK TUHAFİYE BİLGİSAYAR İNŞ.HIR.SAN.VE TİC.LTD.ŞTİ.;1.398,75;;
191;İNDİRİLECEK KATMA DEĞER VERGİSİ;   ;;279,75;
191.108;Yurtiçi Tevkifatsız Alımlar İçin Ödenen KDV;   ;279,75;;
   191.108.20;%20 İndirilecek KDV - Yurtiçi Tevkifatsız Alımlar İçin Ödenen;FT AEP2025000003745 01/05 AKKAYMAK KIRTASİYE İŞ EĞİTİMİ MALZEMELERİ KOZMETİK TUHAFİYE BİLGİSAYAR İNŞ.HIR.SAN.VE TİC.LTD.ŞTİ.;279,75;;
320;SATICILAR;   ;;;1.678,50
   320.551;AKKAYMAK KIRTASİYE İŞ EĞİTİMİ MALZEMELERİ KOZMETİK TUHAFİYE BİLGİSAYAR İNŞ.HIR.SAN.VE TİC.LTD.ŞTİ.;FT AEP2025000003745 01/05 AKKAYMAK KIRTASİYE İŞ EĞİTİMİ MALZEMELERİ KOZMETİK TUHAFİYE BİLGİSAYAR İNŞ.HIR.SAN.VE TİC.LTD.ŞTİ.;1.678,50;;
FİŞ AÇIKLAMA : ;ALIŞ;;;;
TOPLAM :;;;;1.678,50;1.678,50
;;;;;
05248-----05248-----MAHSUP-----01/05/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
108;DİĞER HAZIR DEĞERLER;   ;;635,00;
   108.01;KREDİ KARTI SATIŞLARI;ZR 3235 01/05 KAFE Z RAPORU;635,00;;
391;HESAPLANAN KDV;   ;;;57,73
   391.010;% 10 HESAPLANAN KDV;ZR 3235 01/05 KAFE Z RAPORU;57,73;;
600;YURTİÇİ SATIŞLAR;   ;;;577,27
600.10;KAFE SATIŞLARI;   ;577,27;;
   600.10.10;YİYECEK İÇECEK SATIŞLARI %10 KDVLİ;ZR 3235 01/05 KAFE Z RAPORU;577,27;;
FİŞ AÇIKLAMA : ;Z RAPORU;;;;
TOPLAM :;;;;635,00;635,00
;;;;;
05249-----05249-----MAHSUP-----01/05/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
100;KASA;   ;;8.464,74;
   100.01;NAKİT KASASI TL;ZR 0918 01/05 MERKEZ Z RAPORU;8.464,74;;
108;DİĞER HAZIR DEĞERLER;   ;;35.170,00;
   108.01;KREDİ KARTI SATIŞLARI;ZR 0918 01/05 MERKEZ Z RAPORU;35.170,00;;
391;HESAPLANAN KDV;   ;;;4.381,65
   391.010;% 10 HESAPLANAN KDV;ZR 0918 01/05 MERKEZ Z RAPORU;462,98;;
   391.020;% 20 HESAPLANAN KDV;ZR 0918 01/05 MERKEZ Z RAPORU;3.918,67;;
600;YURTİÇİ SATIŞLAR;   ;;;39.253,09
600.00;KDV SİZ SATIŞLARI;   ;15.029,94;;
   600.00.01;KDV SİZ KİTAP SATIŞLARI;ZR 0918 01/05 MERKEZ Z RAPORU;15.029,94;;
600.010;% 10 KDV Lİ SATIŞLAR;   ;4.629,82;;
   600.010.02;KIRTASİYE SATIŞLARI %10 KDVLİ;ZR 0918 01/05 MERKEZ Z RAPORU;4.629,82;;
600.020;%20 KDV Lİ SATIŞLAR;   ;19.593,33;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;ZR 0918 01/05 MERKEZ Z RAPORU;19.593,33;;
FİŞ AÇIKLAMA : ;Z RAPORU;;;;
TOPLAM :;;;;43.634,74;43.634,74
;;;;;
05250-----05250-----MAHSUP-----01/05/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
191;İNDİRİLECEK KATMA DEĞER VERGİSİ;   ;;71,50;
191.108;Yurtiçi Tevkifatsız Alımlar İçin Ödenen KDV;   ;71,50;;
   191.108.20;%20 İndirilecek KDV - Yurtiçi Tevkifatsız Alımlar İçin Ödenen;FT ET02025000000211 01/05 ENTEGRA BİLİŞİM SANAYİ VE TİCARET ANONİM ŞİRKETİ;71,50;;
689;DİĞER OLAĞANDIŞI GİDER VE ZARARLAR (-);   ;;35,75;
689.01;KANUNEN KABUL EDİLMEYEN GİDERLER;   ;35,75;;
   689.01.10;6802 sayılı Gider Vergileri Kanunu uyarınca gider yazılan özel iletişim vergisi;FT ET02025000000211 01/05 ENTEGRA BİLİŞİM SANAYİ VE TİCARET ANONİM ŞİRKETİ;35,75;;
760;PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ;   ;;357,50;
760.19;FENERİUM GİDERLER;   ;357,50;;
   760.19.13;% 20 KDV Lİ HABERLEŞME GİDERLERİ;FT ET02025000000211 01/05 ENTEGRA BİLİŞİM SANAYİ VE TİCARET ANONİM ŞİRKETİ;357,50;;
320;SATICILAR;   ;;;464,75
   320.1908;ENTEGRA BİLİŞİM SANAYİ VE TİCARET ANONİM ŞİRKETİ;FT ET02025000000211 01/05 ENTEGRA BİLİŞİM SANAYİ VE TİCARET ANONİM ŞİRKETİ;464,75;;
FİŞ AÇIKLAMA : ;FENERİUM ALIŞ;;;;
TOPLAM :;;;;464,75;464,75
;;;;;
05251-----05251-----MAHSUP-----01/05/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
153;TİCARİ MALLAR;   ;;1.636,27;
153.19;FENERİUM ALIŞLAR;   ;1.636,27;;
   153.19.10;%10 KDV Lİ MALZEME ALIŞLARI;GP 001095 01/05 FENERİUM GİDER PUSULASI;1.636,27;;
191;İNDİRİLECEK KATMA DEĞER VERGİSİ;   ;;163,63;
191.108;Yurtiçi Tevkifatsız Alımlar İçin Ödenen KDV;   ;163,63;;
   191.108.10;%10 İndirilecek KDV - Yurtiçi Tevkifatsız Alımlar İçin Ödenen;GP 001095 01/05 FENERİUM GİDER PUSULASI;163,63;;
320;SATICILAR;   ;;;1.799,90
   320.19;FENERİUM GİDER PUSULASI ;GP 001095 01/05 FENERİUM GİDER PUSULASI;1.799,90;;
FİŞ AÇIKLAMA : ;FENERİUM GİDER PUSULASI;;;;
TOPLAM :;;;;1.799,90;1.799,90
;;;;;
05252-----05252-----MAHSUP-----01/05/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
100;KASA;   ;;4.951,65;
   100.01;NAKİT KASASI TL;ZR 2305 01/05 FENERİUM Z RAPORU;4.951,65;;
108;DİĞER HAZIR DEĞERLER;   ;;20.674,05;
   108.19;FENERİUM KREDİ KARTI SATIŞLARI;ZR 2305 01/05 FENERİUM Z RAPORU;20.674,05;;
320;SATICILAR;   ;;1.799,90;
   320.19;FENERİUM GİDER PUSULASI ;ZR 2305 01/05 FENERİUM Z RAPORU;1.799,90;;
391;HESAPLANAN KDV;   ;;;2.691,59
   391.010;% 10 HESAPLANAN KDV;ZR 2305 01/05 FENERİUM Z RAPORU;2.255,22;;
   391.020;% 20 HESAPLANAN KDV;ZR 2305 01/05 FENERİUM Z RAPORU;436,37;;
600;YURTİÇİ SATIŞLAR;   ;;;24.734,01
600.19;FENERİUM SATIŞLAR;   ;24.734,01;;
   600.19.10;%10 KDVLİ MALZEME SATIŞLARI;ZR 2305 01/05 FENERİUM Z RAPORU;22.552,18;;
   600.19.20;% 20 KDV Lİ MALZEME SATIŞLARI;ZR 2305 01/05 FENERİUM Z RAPORU;2.181,83;;
FİŞ AÇIKLAMA : ;FENERİUM SATIŞ;;;;
TOPLAM :;;;;27.425,60;27.425,60
;;;;;
05253-----05253-----MAHSUP-----01/05/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
760;PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ;   ;;900,00;
