YEVMİYE DEFTERİ;;;;;
ALANYA ÖZKAN KIRTASİYE MAT.YAY.İNŞ.TİC.LTD.ŞTİ.;;;;;
Dönem :;01/01/2025-31/12/2025;;;;
Tarih Aralığı :;01/04/2025-30/04/2025;;;;
04050-----04050-----MAHSUP-----01/04/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
191;İNDİRİLECEK KATMA DEĞER VERGİSİ;   ;;262,50;
191.108;Yurtiçi Tevkifatsız Alımlar İçin Ödenen KDV;   ;262,50;;
   191.108.20;%20 İndirilecek KDV - Yurtiçi Tevkifatsız Alımlar İçin Ödenen;FT 007393 26/02 HASAN KESKİN ADİ ORTAKLIĞI;262,50;;
760;PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ;   ;;1.312,50;
760.05;GENEL GİDERLER;   ;1.312,50;;
   760.05.20;%20 KDV Lİ GENEL GİDERLER;FT 007393 26/02 HASAN KESKİN ADİ ORTAKLIĞI;1.312,50;;
336;DİĞER ÇEŞİTLİ BORÇLAR;   ;;;1.575,00
   336.09;ZİRAATBANK COMBO KREDİ KARTI **** 5629;FT 007393 26/02 HASAN KESKİN ADİ ORTAKLIĞI;1.575,00;;
FİŞ AÇIKLAMA : ;GİDER;;;;
TOPLAM :;;;;1.575,00;1.575,00
;;;;;
04051-----04051-----MAHSUP-----01/04/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
191;İNDİRİLECEK KATMA DEĞER VERGİSİ;   ;;145,83;
191.108;Yurtiçi Tevkifatsız Alımlar İçin Ödenen KDV;   ;145,83;;
   191.108.20;%20 İndirilecek KDV - Yurtiçi Tevkifatsız Alımlar İçin Ödenen;FT 007392 24/02 HASAN KESKİN ADİ ORTAKLIĞI;145,83;;
760;PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ;   ;;729,17;
760.05;GENEL GİDERLER;   ;729,17;;
